Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,2,1102,2,1,2,1,2,0,3,2,7,4,2,5993,8,1,11,3,1,8.0,1,6,4.0,0.0,5.0,1
49,1,279,1,8,1,1,3,1,2,2,6,2,1,5130,1,0,23,4,4,10.0,3,10,7.0,1.0,7.0,0
37,2,1373,1,2,2,4,4,1,2,1,2,3,2,2090,6,1,15,3,2,7.0,3,0,0.0,0.0,0.0,1
33,1,1392,1,3,4,1,4,0,3,1,6,3,1,2909,1,1,11,3,3,8.0,3,8,7.0,3.0,0.0,0
27,2,591,1,2,1,3,1,1,3,1,2,2,1,3468,9,0,12,3,4,6.0,3,2,2.0,2.0,2.0,0
32,1,1005,1,2,2,1,4,1,3,1,2,4,2,3068,0,0,13,3,3,8.0,2,7,7.0,3.0,6.0,0
59,2,1324,1,3,3,3,3,0,4,1,2,1,1,2670,4,1,20,4,1,12.0,2,1,0.0,0.0,0.0,0
30,2,1358,1,24,1,1,4,1,3,1,2,3,0,2693,1,0,22,4,2,1.0,3,1,0.0,0.0,0.0,0
38,1,216,1,23,3,1,4,1,2,3,4,3,2,9526,0,0,21,4,2,10.0,3,9,7.0,1.0,8.0,0
36,2,1299,1,27,3,3,3,1,3,2,0,3,1,5237,6,0,13,3,2,17.0,2,7,7.0,7.0,7.0,0
35,2,809,1,16,3,3,1,1,4,1,2,2,1,2426,0,0,13,3,3,6.0,3,5,4.0,0.0,3.0,0
29,2,153,1,15,2,1,4,0,2,2,2,3,2,4193,0,1,12,3,4,10.0,3,9,5.0,0.0,8.0,0
31,2,670,1,26,1,1,1,1,3,1,6,3,0,2911,1,0,17,3,4,5.0,2,5,2.0,4.0,3.0,0
34,2,1346,1,19,2,3,2,1,3,1,2,4,0,2661,0,0,11,3,3,3.0,3,2,2.0,1.0,2.0,0
28,2,103,1,24,3,1,3,1,2,1,2,3,2,2028,5,1,14,3,2,6.0,3,4,2.0,0.0,3.0,1
29,2,1389,1,21,4,1,2,0,4,3,4,1,0,9980,1,0,11,3,3,10.0,3,10,9.0,7.5,8.0,0
32,2,334,1,5,2,1,1,1,4,1,6,2,0,3298,0,1,12,3,4,7.0,2,6,2.0,0.0,5.0,0
22,0,1123,1,16,2,3,4,1,4,1,2,4,0,2935,1,1,13,3,2,1.0,2,1,0.0,0.0,0.0,0
53,2,1219,2,2,4,1,1,0,2,4,3,4,1,15427,2,0,16,3,3,28.5,3,18,8.0,3.0,7.0,0
38,2,371,1,2,3,1,4,1,3,1,6,4,2,3944,5,1,11,3,3,6.0,3,3,2.0,1.0,2.0,0
24,0,673,1,11,2,4,1,0,4,2,4,3,0,4011,0,0,18,3,4,5.0,2,4,2.0,1.0,3.0,0
36,2,1218,2,9,4,1,3,1,2,1,8,1,2,3407,7,0,23,4,2,10.0,3,5,3.0,0.0,3.0,1
34,2,419,1,7,4,1,1,0,3,3,5,2,2,11994,0,0,11,3,3,13.0,3,12,6.0,2.0,11.0,0
21,2,391,1,15,2,1,3,1,3,1,6,4,2,1232,1,0,14,3,4,0.0,3,0,0.0,0.0,0.0,0
34,2,699,1,6,1,3,2,1,3,1,6,1,2,2960,2,0,11,3,3,8.0,3,4,2.0,1.0,3.0,1
53,2,1282,1,5,3,4,3,0,3,5,3,3,0,16581,4,0,11,3,4,26.0,2,14,13.0,4.0,8.0,0
32,1,1125,1,16,1,1,2,0,1,1,6,1,2,3919,1,1,22,4,2,10.0,3,10,2.0,6.0,7.0,1
42,2,691,2,8,4,2,3,1,3,2,7,2,1,6825,0,0,11,3,4,10.0,3,9,7.0,4.0,2.0,0
44,2,477,1,7,4,3,1,0,2,3,0,4,1,10248,3,0,14,3,4,24.0,3,18,6.0,5.0,14.5,0
46,2,705,2,2,4,2,2,0,3,5,3,1,2,16581,3,0,12,3,4,22.0,2,2,2.0,2.0,1.0,0
33,2,924,1,2,3,3,3,1,3,1,2,4,2,2496,4,0,11,3,4,7.0,3,1,1.0,0.0,0.0,0
44,2,1459,1,10,4,4,4,1,3,2,0,4,1,6465,2,1,13,3,4,9.0,4,4,2.0,1.0,3.0,0
30,2,125,1,9,2,3,4,1,2,1,2,3,2,2206,1,0,13,3,1,10.0,3,10,0.0,1.0,8.0,0
39,2,895,2,5,3,5,4,1,3,2,8,4,1,2086,3,0,14,3,3,19.0,4,1,0.0,0.0,0.0,1
24,2,813,1,1,3,3,2,1,3,1,6,4,1,2293,2,1,16,3,1,6.0,2,2,0.0,2.0,0.0,1
43,2,1273,1,2,2,3,4,0,4,1,6,3,0,2645,1,0,12,3,4,6.0,2,5,3.0,1.0,4.0,0
50,2,869,2,3,2,2,1,1,2,1,8,3,1,2683,1,1,14,3,3,3.0,3,3,2.0,0.0,2.0,1
35,2,890,2,2,3,2,4,0,3,1,8,4,1,2014,1,0,13,3,1,2.0,3,2,2.0,2.0,2.0,0
36,2,852,1,5,4,1,2,0,2,1,6,1,1,3419,9,1,14,3,4,6.0,4,1,1.0,0.0,0.0,0
33,1,1141,2,1,3,1,3,0,4,2,7,1,1,5376,2,0,19,3,1,10.0,3,5,3.0,1.0,3.0,0
35,2,464,1,4,2,4,3,1,3,1,2,4,0,1951,1,0,12,3,3,1.0,3,1,0.0,0.0,0.0,0
27,2,1240,1,2,4,1,4,0,3,1,2,1,0,2341,1,0,13,3,4,1.0,3,1,0.0,0.0,0.0,0
26,2,1357,1,25,3,1,1,1,1,1,2,3,2,2293,1,0,12,3,3,1.0,2,1,0.0,0.0,1.0,1
27,1,994,2,8,3,1,4,1,3,3,7,3,2,8726,1,0,15,3,4,9.0,3,9,8.0,1.0,7.0,0
30,1,721,1,1,2,3,3,0,3,2,2,4,2,4011,1,0,23,4,4,12.0,3,12,8.0,3.0,7.0,0
41,2,1360,1,12,3,5,2,0,3,5,5,3,1,16581,1,0,12,3,4,23.0,3,18,14.5,7.5,8.0,1
34,0,1065,2,23,4,2,2,1,3,2,7,3,2,4568,0,0,20,4,3,10.0,3,9,5.0,7.5,7.0,0
37,2,408,1,19,2,1,2,1,3,1,6,2,1,3022,4,0,21,4,1,8.0,3,1,0.0,0.0,0.0,0
46,1,1211,2,5,4,2,1,1,3,2,7,4,2,5772,4,1,21,4,3,14.0,3,9,6.0,0.0,8.0,0
35,2,1229,1,8,1,1,4,1,4,1,2,4,1,2269,1,0,19,3,4,1.0,3,1,0.0,0.0,1.0,0
48,2,626,1,1,2,1,1,1,2,3,2,3,2,5381,9,1,13,3,4,23.0,3,1,0.0,0.0,0.0,1
28,2,1434,1,5,4,5,3,1,3,1,2,3,2,3441,1,1,13,3,3,2.0,2,2,2.0,2.0,2.0,1
44,2,1488,2,1,5,2,2,0,3,2,7,1,0,5454,5,1,21,4,3,9.0,2,4,3.0,1.0,3.0,0
35,0,1097,1,11,2,3,3,1,2,3,0,1,1,9884,2,1,13,3,3,10.0,3,4,0.0,2.0,3.0,0
26,2,1443,2,23,3,2,3,0,2,2,7,4,1,4157,7,1,19,3,3,5.0,2,2,2.0,0.0,0.0,0
33,1,515,1,1,2,1,1,0,3,3,5,4,2,13458,1,1,12,3,3,15.0,3,15,14.0,7.5,12.0,0
35,1,853,2,18,5,1,2,1,3,3,7,1,1,9069,1,0,22,4,4,9.0,2,9,8.0,1.0,8.0,0
35,2,1142,1,23,4,3,3,0,3,1,2,1,1,4014,3,1,15,3,3,4.0,3,2,2.0,2.0,2.0,0
31,2,655,1,7,4,1,4,1,3,2,2,4,0,5915,3,0,22,4,4,10.0,2,7,7.0,1.0,7.0,0
37,2,1115,1,1,4,1,1,1,2,2,4,3,0,5993,1,0,18,3,3,7.0,4,7,5.0,0.0,7.0,0
